Description,Item Category,Date of Retrieval,Department Name,College Name
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
3 Drawer Lateral File Cabinet,furniture-storage,2024/10/9,Nursing,"Healthcare Systems, UIC - MC"
Round Wooden Table,furniture-tables,2024/11/6,Sociology,Liberal Arts & Sciences
3 Drawer Lateral File Cabinet,furniture-storage,2024/11/6,Sociology,Liberal Arts & Sciences
Wooden Office Desk,furniture-tables,2024/11/6,Sociology,Liberal Arts & Sciences
Office Rolling Chair,furniture-seating,2025/4/9,Office for Access and Equity,Office for Access and Equity
Side Office Chair,furniture-seating,2024/12/3,Computer Science,Engineering
Side Office Chair,furniture-seating,2024/12/3,Computer Science,Engineering
Side Office Chair,furniture-seating,2024/12/3,Computer Science,Engineering
Side Office Chair,furniture-seating,2024/12/3,Computer Science,Engineering
Wood Bookcase,furniture-storage,2025/1/28,Facilities Management Admin,Vice Chanc Administrative Svcs
6 Drawer Lateral Filing Cabinet,furniture-storage,2025/1/28,Facilities Management Admin,Vice Chanc Administrative Svcs
Wooden Bookcase,furniture-storage,2025/1/28,Neurology and Rehab Medicine,Coll Medicine at Chicago - CS
2 Drawer File Cabinet,furniture-storage,2025/1/28,Neurology and Rehab Medicine,Coll Medicine at Chicago - CS
Wooden Office Desk,furniture-tables,2025/1/28,Neurology and Rehab Medicine,Coll Medicine at Chicago - CS
Office Rolling Chair,furniture-seating,2025/1/28,Neurology and Rehab Medicine,Coll Medicine at Chicago - CS
Computer Desk,furniture-tables,2025/2/20,Electrical & Computer Engr,Engineering
Computer Desk,furniture-tables,2025/2/20,Electrical & Computer Engr,Engineering
Computer Desk,furniture-tables,2025/2/20,Electrical & Computer Engr,Engineering
Desk L shape Desk,furniture-tables,2025/2/26,Political Science,Liberal Arts & Sciences
Wood Top Table,furniture-tables,2025/4/9,Facilities Management Admin,Vice Chanc Administrative Svcs
Wood Center Table,furniture-tables,2025/4/9,Facilities Management Admin,Vice Chanc Administrative Svcs
Wood Center Table,furniture-tables,2025/4/9,Facilities Management Admin,Vice Chanc Administrative Svcs
