Description,Item category,Received Date,Department Name,College Name
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
NEC LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
HP LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
HP LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
HP LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
LG LCD MONITOR,electronics-av,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Dell OptiPlex Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Dell OptiPlex Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
HP Compaq Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Dell OptiPlex Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Dell OptiPlex Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
