Description,Item Category,Date of Retrieval,Department Name,College Name
Laptop Dell Latitude 5310,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
ASUS ROG GL502V,computing,2025/3/13,"Nuclear, Plasma, & Rad Engr",Grainger Engineering
Laptop Lenovo L13 Yoga,computing,2025/3/18,IL State Archaeological Survey,OVCRI Institutes
Laptop Lenovo L13 Yoga,computing,2025/3/18,IL State Archaeological Survey,OVCRI Institutes
Laptop Lenovo L13 Yoga,computing,2025/3/18,IL State Archaeological Survey,OVCRI Institutes
Dell Monitor,electronics-av,2025/3/18,Spurlock Museum,Liberal Arts & Sciences
Dell P2412Hb Monitor,electronics-av,2025/3/19,Civil & Environmental Eng,Grainger Engineering
Dell P2412Hb Monitor,electronics-av,2025/3/19,Civil & Environmental Eng,Grainger Engineering
Desktop Dell Precision 3440,computing,2025/3/19,Civil & Environmental Eng,Grainger Engineering
Microsoft Surface 1796,computing,2025/3/19,F&S Engineering Services,Facilities
Chair,furniture-seating,2025/3/19,F&S Engineering Services,Facilities
Table 60x30,furniture-tables,2025/3/19,IL Natural History Survey,OVCRI Institutes
Table 5'x2',furniture-tables,2025/3/19,IL Natural History Survey,OVCRI Institutes
Dell Monitor,electronics-av,2025/3/19,Plant Biology,Liberal Arts & Sciences
LCD,electronics-av,2025/3/19,Plant Biology,Liberal Arts & Sciences
Rolling Chair,furniture-seating,2025/3/19,Vet Medicine Administration,Veterinary Medicine
Rolling Chair,furniture-seating,2025/3/19,Vet Medicine Administration,Veterinary Medicine
HP LaserJet 1320,computing,2025/3/19,Informatics,School of Information Sciences
